 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5915 ; 6020.000 ; 169.06170752324598000000 ; 166.11295681063122923000 ; 1103.558 ; 2254.298 ; 1103.558 ; 1576.512 ; 251,73600000000001841727 ; 238.36561000000000000000
Signal ;5999 ; 5978.000 ; 166.69444907484580000000 ; 167.28002676480428236000 ; 1086.042 ; 2126.354 ; 1086.042 ; 1558.995 ; 256,88399999999995770850 ; 242.08963000000000000000
Signal ;5854 ; 5889.000 ; 170.82336863682951000000 ; 169.80811682798437765000 ; 1106.061 ; 2256.801 ; 1106.061 ; 1594.029 ; 252,07900000000000773070 ; 238.22522000000000000000
Signal ;5800 ; 5758.000 ; 172.41379310344827000000 ; 173.67141368530739840000 ; 1048.506 ; 2073.677 ; 1048.506 ; 1506.445 ; 250,72099999999997521627 ; 236.47697000000000000000
Signal ;5698 ; 5673.000 ; 175.50017550017550000000 ; 176.27357659086902873000 ; 1091.046 ; 2128.139 ; 1091.046 ; 1558.995 ; 255,84199999999998453859 ; 241.78090000000000000000
Signal ;5568 ; 5515.000 ; 179.59770114942528000000 ; 181.32366273798730734000 ; 1117.322 ; 2286.510 ; 1124.829 ; 1611.546 ; 253,37899999999996225597 ; 241.20979000000000000000
Signal ;5499 ; 5413.000 ; 181.85124568103291000000 ; 184.74043968224644374000 ; 1127.331 ; 2257.187 ; 1074.781 ; 1611.546 ; 257,56499999999999772626 ; 239.62575000000000000000
Signal ;5395 ; 5363.000 ; 185.35681186283595000000 ; 186.46280067126608241000 ; 1136.090 ; 2333.907 ; 1128.582 ; 1629.062 ; 254,83500000000003637979 ; 240.50015000000000000000
Signal ;5298 ; 5289.000 ; 188.75047187617969000000 ; 189.07165815844204953000 ; 1108.563 ; 2212.835 ; 1108.563 ; 1594.029 ; 259,03999999999996362021 ; 244.21703000000000000000
Signal ;5200 ; 5160.000 ; 192.30769230769230000000 ; 193.79844961240310077000 ; 1092.298 ; 2211.537 ; 1092.298 ; 1576.512 ; 256,65699999999998226485 ; 242.27226000000000000000
Signal ;5100 ; 5006.000 ; 196.07843137254901000000 ; 199.76028765481422293000 ; 1154.858 ; 2328.397 ; 1102.307 ; 1664.096 ; 260,61799999999999499778 ; 242.67973000000000000000
Signal ;4993 ; 4982.000 ; 200.28039254956939000000 ; 200.72260136491368928000 ; 1142.346 ; 2299.090 ; 1082.288 ; 1646.579 ; 260,96799999999996089173 ; 241.46665000000000000000
Signal ;4899 ; 4881.000 ; 204.12329046744233000000 ; 204.87604998975619750000 ; 1146.099 ; 2311.110 ; 1101.056 ; 1646.579 ; 259,77199999999999135980 ; 242.35814000000000000000
Signal ;4800 ; 4712.000 ; 208.33333333333333000000 ; 212.22410865874363327000 ; 1333.779 ; 2639.761 ; 1142.346 ; 1921.843 ; 272,61000000000001364242 ; 243.86524000000000000000
Signal ;4605 ; 4668.000 ; 217.15526601520086000000 ; 214.22450728363324764000 ; 1166.118 ; 2400.832 ; 1166.118 ; 1670.352 ; 258,69100000000003092282 ; 244.65686000000000000000
Signal ;4597 ; 4524.000 ; 217.53317380900587000000 ; 221.04332449160035366000 ; 1143.597 ; 2296.686 ; 1139.843 ; 1646.579 ; 257,95600000000001728040 ; 242.34119000000000000000
Signal ;4500 ; 4493.000 ; 222.22222222222222000000 ; 222.56843979523703538000 ; 1273.722 ; 2575.875 ; 1144.848 ; 1820.496 ; 269,87900000000001909939 ; 246.48066000000000000000
Signal ;4400 ; 4388.000 ; 227.27272727272727000000 ; 227.89425706472196900000 ; 1191.142 ; 2388.960 ; 1201.152 ; 1707.888 ; 261,06000000000000227374 ; 250.49723000000000000000
Signal ;4300 ; 4205.000 ; 232.55813953488372000000 ; 237.81212841854934601000 ; 1306.253 ; 2618.326 ; 1159.862 ; 1876.800 ; 270,50200000000000954969 ; 243.87796000000000000000
Signal ;4200 ; 4093.000 ; 238.09523809523809000000 ; 244.31956999755680430000 ; 1326.272 ; 2648.526 ; 1174.877 ; 1901.824 ; 279,04999999999995452526 ; 252.26259000000000000000
Signal ;4099 ; 4100.000 ; 243.96194193705781000000 ; 243.90243902439024390000 ; 1271.219 ; 2547.789 ; 1176.128 ; 1820.496 ; 270,26900000000000545697 ; 250.16589000000000000000
Signal ;3996 ; 3966.000 ; 250.25025025025025000000 ; 252.14321734745335350000 ; 1169.872 ; 2374.651 ; 1169.872 ; 1689.120 ; 266,10899999999998044586 ; 251.12459000000000000000
Signal ;3900 ; 3830.000 ; 256.41025641025641000000 ; 261.09660574412532637000 ; 1254.954 ; 2559.021 ; 1206.157 ; 1801.728 ; 264,92500000000001136868 ; 246.67090000000000000000
Signal ;3799 ; 3708.000 ; 263.22716504343248000000 ; 269.68716289104638619000 ; 1197.398 ; 2494.504 ; 1212.413 ; 1726.656 ; 256,19299999999998362910 ; 243.14716000000000000000
Signal ;3695 ; 3665.000 ; 270.63599458728010000000 ; 272.85129604365620736000 ; 1194.896 ; 2480.254 ; 1194.896 ; 1707.888 ; 261,05299999999999727152 ; 245.97365000000000000000
Signal ;3600 ; 3572.000 ; 277.77777777777777000000 ; 279.95520716685330347000 ; 1325.021 ; 2666.419 ; 1237.437 ; 1895.568 ; 276,04599999999999226930 ; 254.36455000000000000000
Signal ;3491 ; 3483.000 ; 286.45087367516470000000 ; 287.10881424059718633000 ; 1261.210 ; 2544.828 ; 1261.210 ; 1801.728 ; 271,80799999999999272404 ; 257.35240000000000000000
Signal ;3400 ; 3390.000 ; 294.11764705882352000000 ; 294.98525073746312684000 ; 1333.779 ; 2693.278 ; 1262.461 ; 1921.843 ; 276,57099999999996953193 ; 255.99406000000000000000
Signal ;3298 ; 3296.000 ; 303.21406913280776000000 ; 303.39805825242718446000 ; 1231.181 ; 2578.758 ; 1208.659 ; 1764.192 ; 265,69200000000000727596 ; 252.43237000000000000000
