Design ; Data Path (ps) ;  Freq (MHz) ;  Cell Area ; Total Area ;  Total Power(uW)
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;6020.000 ; 166.11295681063122923000 ; 1103.558 ; 1576.512 ; 238.36561000000000000000
Signal ;5978.000 ; 167.28002676480428236000 ; 1086.042 ; 1558.995 ; 242.08963000000000000000
Signal ;5889.000 ; 169.80811682798437765000 ; 1106.061 ; 1594.029 ; 238.22522000000000000000
